,Country,Month,Day,Date
0,Italy,May,1,20200501
1,Italy,May,2,20200502
2,Italy,May,3,20200503
3,Italy,May,4,20200504
4,Italy,May,5,20200505
5,Italy,May,6,20200506
6,Italy,May,7,20200507
7,Italy,May,8,20200508
8,Italy,May,9,20200509
9,Italy,May,10,20200510
10,Italy,May,11,20200511
11,Italy,May,12,20200512
12,Italy,May,13,20200513
13,Italy,May,14,20200514
14,Italy,May,15,20200515
15,Italy,May,16,20200516
16,Italy,May,17,20200517
17,Italy,May,18,20200518
18,Italy,May,19,20200519
19,Italy,May,20,20200520
20,Italy,May,21,20200521
21,Italy,May,22,20200522
22,Italy,May,23,20200523
23,Italy,May,24,20200524
24,Italy,May,25,20200525
25,Italy,May,26,20200526
26,Italy,May,27,20200527
27,Italy,May,28,20200528
28,Italy,May,29,20200529
29,Italy,May,30,20200530
30,Italy,May,31,20200531
31,Italy,June,1,20200601
32,Italy,June,2,20200602
33,Italy,June,3,20200603
34,Italy,June,4,20200604
35,Italy,June,5,20200605
36,Italy,June,6,20200606
37,Italy,June,7,20200607
38,Italy,June,8,20200608
39,Italy,June,9,20200609
40,Italy,June,10,20200610
41,Italy,June,11,20200611
42,Italy,June,12,20200612
43,Italy,June,13,20200613
44,Italy,June,14,20200614
45,Italy,June,15,20200615
46,Italy,June,16,20200616
47,Italy,June,17,20200617
48,Italy,June,18,20200618
49,Italy,June,19,20200619
50,Italy,June,20,20200620
51,Italy,June,21,20200621
52,Italy,June,22,20200622
53,Italy,June,23,20200623
54,Italy,June,24,20200624
55,Italy,June,25,20200625
56,Italy,June,26,20200626
57,Italy,June,27,20200627
58,Italy,June,28,20200628
59,Italy,June,29,20200629
60,Italy,June,30,20200630
61,Italy,July,1,20200701
62,Italy,July,2,20200702
63,Italy,July,3,20200703
64,Italy,July,4,20200704
65,Italy,July,5,20200705
66,Italy,July,6,20200706
67,Italy,July,7,20200707
68,Italy,July,8,20200708
69,Italy,July,9,20200709
70,Italy,July,10,20200710
71,Italy,July,11,20200711
72,Italy,July,12,20200712
73,Italy,July,13,20200713
74,Italy,July,14,20200714
75,Italy,July,15,20200715
76,Italy,July,16,20200716
77,Italy,July,17,20200717
78,Italy,July,18,20200718
79,Italy,July,19,20200719
80,Italy,July,20,20200720
81,Italy,July,21,20200721
82,Italy,July,22,20200722
83,Italy,July,23,20200723
84,Italy,July,24,20200724
85,Italy,July,25,20200725
86,Italy,July,26,20200726
87,Italy,July,27,20200727
88,Italy,July,28,20200728
89,Italy,July,29,20200729
90,Italy,July,30,20200730
91,Italy,July,31,20200731
92,Italy,August,1,20200801
93,Italy,August,2,20200802
94,Italy,August,3,20200803
95,Italy,August,4,20200804
96,Italy,August,5,20200805
97,Italy,August,6,20200806
98,Italy,August,7,20200807
99,Italy,August,8,20200808
100,Italy,August,9,20200809
101,Italy,August,10,20200810
102,Italy,August,11,20200811
103,Italy,August,12,20200812
104,Italy,August,13,20200813
105,Italy,August,14,20200814
106,Italy,August,15,20200815
107,Italy,August,16,20200816
108,Italy,August,17,20200817
109,Italy,August,18,20200818
110,Italy,August,19,20200819
111,Italy,August,20,20200820
112,Italy,August,21,20200821
113,Italy,August,22,20200822
114,Italy,August,23,20200823
115,Italy,August,24,20200824
116,Italy,August,25,20200825
117,Italy,August,26,20200826
118,Italy,August,27,20200827
119,Italy,August,28,20200828
120,Italy,August,29,20200829
121,Italy,August,30,20200830
122,Italy,August,31,20200831
123,Italy,September,1,20200901
124,Italy,September,2,20200902
125,Italy,September,3,20200903
126,Italy,September,4,20200904
127,Italy,September,5,20200905
128,Italy,September,6,20200906
129,Italy,September,7,20200907
130,Italy,September,8,20200908
131,Italy,September,9,20200909
132,Italy,September,10,20200910
133,Italy,September,11,20200911
134,Italy,September,12,20200912
135,Italy,September,13,20200913
136,Italy,September,14,20200914
137,Italy,September,15,20200915
138,Italy,September,16,20200916
139,Italy,September,17,20200917
140,Italy,September,18,20200918
141,Italy,September,19,20200919
142,Italy,September,20,20200920
143,Italy,September,21,20200921
144,Italy,September,22,20200922
145,Italy,September,23,20200923
146,Italy,September,24,20200924
147,Italy,September,25,20200925
148,Italy,September,26,20200926
149,Italy,September,27,20200927
150,Italy,September,28,20200928
151,Italy,September,29,20200929
152,Italy,September,30,20200930
153,Italy,October,1,20201001
154,Italy,October,2,20201002
155,Italy,October,3,20201003
156,Italy,October,4,20201004
157,Italy,October,5,20201005
158,Italy,October,6,20201006
159,Italy,October,7,20201007
160,Italy,October,8,20201008
161,Italy,October,9,20201009
162,Italy,October,10,20201010
163,Italy,October,11,20201011
164,Italy,October,12,20201012
165,Italy,October,13,20201013
166,Italy,October,14,20201014
167,Italy,October,15,20201015
168,Italy,October,16,20201016
169,Italy,October,17,20201017
170,Italy,October,18,20201018
171,Italy,October,19,20201019
172,Italy,October,20,20201020
173,Italy,October,21,20201021
174,Italy,October,22,20201022
175,Italy,October,23,20201023
176,Italy,October,24,20201024
177,Italy,October,25,20201025
178,Italy,October,26,20201026
179,Italy,October,27,20201027
180,Italy,October,28,20201028
181,Italy,October,29,20201029
182,Italy,October,30,20201030
183,Italy,October,31,20201031
184,Italy,November,1,20201101
185,Italy,November,2,20201102
186,Italy,November,3,20201103
187,Italy,November,4,20201104
188,Italy,November,5,20201105
189,Italy,November,6,20201106
190,Italy,November,7,20201107
191,Italy,November,8,20201108
192,Italy,November,9,20201109
193,Italy,November,10,20201110
194,Italy,November,11,20201111
195,Italy,November,12,20201112
196,Italy,November,13,20201113
197,Italy,November,14,20201114
198,Italy,November,15,20201115
199,Italy,November,16,20201116
200,Italy,November,17,20201117
201,Italy,November,18,20201118
202,Italy,November,19,20201119
203,Italy,November,20,20201120
204,Italy,November,21,20201121
205,Italy,November,22,20201122
206,Italy,November,23,20201123
207,Italy,November,24,20201124
208,Italy,November,25,20201125
209,Italy,November,26,20201126
210,Italy,November,27,20201127
211,Italy,November,28,20201128
212,Italy,November,29,20201129
213,Italy,November,30,20201130
214,Italy,December,1,20201201
215,Italy,December,2,20201202
216,Italy,December,3,20201203
217,Italy,December,4,20201204
218,Italy,December,5,20201205
219,Italy,December,6,20201206
220,Italy,December,7,20201207
221,Italy,December,8,20201208
222,Italy,December,9,20201209
223,Italy,December,10,20201210
224,Italy,December,11,20201211
225,Italy,December,12,20201212
226,Italy,December,13,20201213
227,Italy,December,14,20201214
228,Italy,December,15,20201215
229,Italy,December,16,20201216
230,Italy,December,17,20201217
231,Italy,December,18,20201218
232,Italy,December,19,20201219
233,Italy,December,20,20201220
234,Italy,December,21,20201221
235,Italy,December,22,20201222
236,Italy,December,23,20201223
237,Italy,December,24,20201224
238,Italy,December,25,20201225
239,Italy,December,26,20201226
240,Italy,December,27,20201227
241,Italy,December,28,20201228
242,Italy,December,29,20201229
243,Italy,December,30,20201230
244,Italy,December,31,20201231
245,Italy,January,1,20210101
246,Italy,January,2,20210102
247,Italy,January,3,20210103
248,Italy,January,4,20210104
249,Italy,January,5,20210105
250,Italy,January,6,20210106
251,Italy,January,7,20210107
252,Italy,January,8,20210108
253,Italy,January,9,20210109
254,Italy,January,10,20210110
255,Italy,January,11,20210111
256,Italy,January,12,20210112
257,Italy,January,13,20210113
258,Italy,January,14,20210114
259,Italy,January,15,20210115
260,Italy,January,16,20210116
261,Italy,January,17,20210117
262,Italy,January,18,20210118
263,Italy,January,19,20210119
264,Italy,January,20,20210120
265,Italy,January,21,20210121
266,Italy,January,22,20210122
267,Italy,January,23,20210123
268,Italy,January,24,20210124
269,Italy,January,25,20210125
270,Italy,January,26,20210126
271,Italy,January,27,20210127
272,Italy,January,28,20210128
273,Italy,January,29,20210129
274,Italy,January,30,20210130
275,Italy,January,31,20210131
276,Italy,February,1,20210201
277,Italy,February,2,20210202
278,Italy,February,3,20210203
279,Italy,February,4,20210204
280,Italy,February,5,20210205
281,Italy,February,6,20210206
282,Italy,February,7,20210207
283,Italy,February,8,20210208
284,Italy,February,9,20210209
285,Italy,February,10,20210210
286,Italy,February,11,20210211
287,Italy,February,12,20210212
288,Italy,February,13,20210213
289,Italy,February,14,20210214
290,Italy,February,15,20210215
291,Italy,February,16,20210216
292,Italy,February,17,20210217
293,Italy,February,18,20210218
294,Italy,February,19,20210219
295,Italy,February,20,20210220
296,Italy,February,21,20210221
297,Italy,February,22,20210222
298,Italy,February,23,20210223
299,Italy,February,24,20210224
300,Italy,February,25,20210225
301,Italy,February,26,20210226
302,Italy,February,27,20210227
303,Italy,February,28,20210228
