"","country"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Angola"
"5","Argentina"
"6","Armenia"
"7","Australia"
"8","Austria"
"9","Azerbaijan"
"10","Bangladesh"
"11","Belarus"
"12","Belgium"
"13","Bolivia"
"14","Bosnia and Herzegovina"
"15","Brazil"
"16","Bulgaria"
"17","Burkina Faso"
"18","Cambodia"
"19","Cameroon"
"20","Canada"
"21","Chile"
"22","Colombia"
"23","Costa Rica"
"24","C̫te d'Ivoire"
"25","Croatia"
"26","Czech Republic"
"27","Denmark"
"28","Dominican Republic"
"29","Ecuador"
"30","Egypt"
"31","El Salvador"
"32","Ethiopia"
"33","Finland"
"34","France"
"35","Germany"
"36","Ghana"
"37","Greece"
"38","Guatemala"
"39","Guinea"
"40","Haiti"
"41","Honduras"
"42","Hong Kong"
"43","Hungary"
"44","India"
"45","Indonesia"
"46","Iraq"
"47","Ireland"
"48","Israel"
"49","Italy"
"50","Japan"
"51","Jordan"
"52","Kazakhstan"
"53","Kenya"
"54","Kuwait"
"55","Kyrgyzstan"
"56","Laos"
"57","Lebanon"
"58","Libya"
"59","Madagascar"
"60","Malaysia"
"61","Mali"
"62","Mexico"
"63","Moldova"
"64","Morocco"
"65","Mozambique"
"66","Myanmar"
"67","Nepal"
"68","Netherlands"
"69","New Zealand"
"70","Nicaragua"
"71","Nigeria"
"72","Norway"
"73","Oman"
"74","Pakistan"
"75","Palestine"
"76","Panama"
"77","Paraguay"
"78","Peru"
"79","Philippines"
"80","Poland"
"81","Portugal"
"82","Puerto Rico, U.S."
"83","Qatar"
"84","Romania"
"85","Russia"
"86","Saudi Arabia"
"87","Senegal"
"88","Serbia"
"89","Singapore"
"90","Slovakia"
"91","Slovenia"
"92","South Africa"
"93","South Korea"
"94","Spain"
"95","Sri Lanka"
"96","Sudan"
"97","Sweden"
"98","Switzerland"
"99","Taiwan"
"100","Tanzania"
"101","Thailand"
"102","Tunisia"
"103","Turkey"
"104","Ukraine"
"105","United Arab Emirates"
"106","United Kingdom"
"107","United States of America"
"108","Uruguay"
"109","Uzbekistan"
"110","Venezuela"
"111","Vietnam"
"112","Yemen"
